word,category,arousal,imageability,valence,arm,leg,bias,bias_absol,word_logfreq,lemma_logfreq,pos_ambig,bigram_logfreq,trigram_logfreq,nletters,nphon
banka,arm,3.24,6,3.4,7,1.25,5.75,5.75,2.699837725867246,3.0051805125037805,0.15242881072026804,6.261646127331545,4.951260073835268,5,5
borsta,arm,2.32,5.88,4.44,6.58333333333333,1.08333333333333,5.5,5.5,2.747411807886423,2.929929560084588,0.2235401459854015,6.254801495013514,5.434497944581341,6,5
bulta,arm,3.64,5.48,3.48,6.08333333333333,1.33333333333333,4.75,4.75,1.9395192526186185,2.413299764081252,0.12794612794612792,5.830532081634043,4.3547982993835745,5,5
daska,arm,3.56,5.12,2.84,6.5,1.41666666666667,5.08333333333333,5.08333333333333,1.8750612633917,2.041392685158225,0.2517006802721088,6.307793638618395,5.132943947092748,5,5
dunka,arm,2.56,5.52,3.56,6.66666666666667,1.75,4.91666666666667,4.91666666666667,2.3560258571931225,2.5415792439465807,0.24347826086956526,6.149812396618064,4.501726451454801,5,5
fånga,arm,2.6,5.6,4.04,6.66666666666667,1.75,4.91666666666667,4.91666666666667,3.7781512503836434,3.778729923996112,0.24284814114681785,6.085450017922053,5.239360147862903,5,4
fila,arm,2.04,5.84,4.16,6.33333333333333,1.58333333333333,4.75,4.75,1.8692317197309762,2.2095150145426308,0.4563758389261745,6.21113294320846,4.681776682679225,4,4
fläta,arm,2.32,6,4.96,6.83333333333333,1,5.83333333333333,5.83333333333333,2.155336037465062,2.187520720836463,0.4253731343283582,5.930901312757504,4.364477903737283,5,5
gnugga,arm,1.88,5.6,4,6.33333333333333,1.66666666666667,4.66666666666667,4.66666666666667,2.3502480183341627,2.5010592622177517,0.1291208791208791,5.5620195170420805,3.9444011524421407,6,5
grabba,arm,2,3.96,3.52,6.83333333333333,1.16666666666667,5.66666666666667,5.66666666666667,1.8920946026904804,2.8048206787211623,0.5755156353958749,5.837339331687411,4.97215041664041,6,5
greppa,arm,2.08,5.2,3.92,6.91666666666667,1.66666666666667,5.25,5.25,2.5211380837040362,2.663700925389648,0.04554865424430643,5.848249370628877,4.925293945470291,6,5
gripa,arm,2.72,5.48,3.28,6.66666666666667,1.58333333333333,5.08333333333333,5.08333333333333,3.44216608578472,3.619719265611727,0.01396449704142011,5.749671746627796,4.417322411986189,5,5
hacka,arm,2.28,5.84,3.76,6.83333333333333,1.66666666666667,5.16666666666667,5.16666666666667,3.1914510144648953,3.4665710723863543,0.1875693673695893,6.21325321262521,4.9749585783950065,5,4
hissa,arm,1.52,5.16,4.36,6.16666666666667,1.5,4.66666666666667,4.66666666666667,2.5276299008713385,2.6866362692622934,0.12115732368896925,5.993096918272107,5.1251435959141975,5,4
hiva,arm,2.4,4.92,4.16,6.75,1.41666666666667,5.33333333333333,5.33333333333333,1.7160033436347992,1.8512583487190752,0.23655913978494625,5.923382162243089,3.978839492609658,4,4
karva,arm,2.36,4.84,3.32,6.75,1,5.75,5.75,1.8976270912904414,2.184691430817599,0.06707317073170727,6.294731025950172,4.876530724400351,5,5
kasta,arm,3.04,5.88,3.84,6.91666666666667,1.25,5.66666666666667,5.66666666666667,3.8841153620116686,4.185230416167562,0.05537399025713752,6.424958431978626,5.3600369723333525,5,5
klappa,arm,3.2,6.08,5.36,6.91666666666667,1.25,5.66666666666667,5.66666666666667,2.808210972924222,3.011993114659257,0.13685978169605373,5.959830294817857,5.1027325819567215,6,5
klicka,arm,2,5.64,4.36,6.58333333333333,1,5.58333333333333,5.58333333333333,2.429752280002408,2.7649229846498886,0.1300448430493274,6.1278369701660145,5.361578601012367,6,5
klippa,arm,2,5.4,4.4,6.33333333333333,1.16666666666667,5.16666666666667,5.16666666666667,3.384353414137506,3.545554507234065,0.4021109976166156,5.826880917852502,4.956959972436917,6,5
klösa,arm,3.64,5.84,2.28,6.83333333333333,1.16666666666667,5.66666666666667,5.66666666666667,2.0170333392987803,2.311753861055754,0.06818181818181823,5.6160872573405065,4.215481958967397,5,5
knacka,arm,2.2,6.08,4.16,6.83333333333333,1.08333333333333,5.75,5.75,3.04493154614916,3.4156409798961542,0.08083303918108009,6.033736885796139,5.142624372248528,6,5
knycka,arm,2.96,4.76,2.72,6.25,1.33333333333333,4.91666666666667,4.91666666666667,1.8325089127062364,2.2355284469075487,0.10416666666666663,5.825906735856503,4.738852777208,6,5
linda,arm,1.68,5.2,4.4,6.58333333333333,1.66666666666667,4.91666666666667,4.91666666666667,3.388633969351789,2.761927838420529,0.7723513194170933,6.421163445491935,5.229876058798786,5,5
norpa,arm,2.96,4.88,3.08,6.41666666666667,1.41666666666667,5,5,1.5314789170422551,1.792391689498254,0.06060606060606055,5.708179054959983,4.252407036450736,5,5
