subject,movement,word_type,errors
1,arm_paradi,arm,14
1,arm_paradi,leg,10
1,artic_suppression,arm,22
1,artic_suppression,leg,24
1,control,arm,9
1,control,leg,8
1,leg_paradi,arm,18
1,leg_paradi,leg,21
2,arm_paradi,arm,2
2,arm_paradi,leg,2
2,artic_suppression,arm,15
2,artic_suppression,leg,11
2,control,arm,1
2,control,leg,4
2,leg_paradi,arm,2
2,leg_paradi,leg,3
3,arm_paradi,arm,24
3,arm_paradi,leg,18
3,artic_suppression,arm,15
3,artic_suppression,leg,19
3,control,arm,7
3,control,leg,13
3,leg_paradi,arm,9
3,leg_paradi,leg,26
4,arm_paradi,arm,10
4,arm_paradi,leg,9
4,artic_suppression,arm,11
4,artic_suppression,leg,9
4,control,arm,1
4,control,leg,4
4,leg_paradi,arm,10
4,leg_paradi,leg,18
5,arm_paradi,arm,24
5,arm_paradi,leg,19
5,artic_suppression,arm,34
5,artic_suppression,leg,24
5,control,arm,15
5,control,leg,15
5,leg_paradi,arm,12
5,leg_paradi,leg,17
6,arm_paradi,arm,11
6,arm_paradi,leg,9
6,artic_suppression,arm,23
6,artic_suppression,leg,19
6,control,arm,4
6,control,leg,5
6,leg_paradi,arm,11
6,leg_paradi,leg,11
7,arm_paradi,arm,15
7,arm_paradi,leg,13
7,artic_suppression,arm,22
7,artic_suppression,leg,21
7,control,arm,8
7,control,leg,7
7,leg_paradi,arm,9
7,leg_paradi,leg,8
8,arm_paradi,arm,26
8,arm_paradi,leg,22
8,artic_suppression,arm,28
8,artic_suppression,leg,24
8,control,arm,16
8,control,leg,11
8,leg_paradi,arm,14
8,leg_paradi,leg,11
9,arm_paradi,arm,6
9,arm_paradi,leg,10
9,artic_suppression,arm,20
9,artic_suppression,leg,10
9,control,arm,5
9,control,leg,9
9,leg_paradi,arm,19
9,leg_paradi,leg,23
10,arm_paradi,arm,20
10,arm_paradi,leg,14
10,artic_suppression,arm,17
10,artic_suppression,leg,22
10,control,arm,2
10,control,leg,3
10,leg_paradi,arm,14
10,leg_paradi,leg,13
11,arm_paradi,arm,28
11,arm_paradi,leg,28
11,artic_suppression,arm,23
11,artic_suppression,leg,19
11,control,arm,6
11,control,leg,6
11,leg_paradi,arm,22
11,leg_paradi,leg,21
12,arm_paradi,arm,14
12,arm_paradi,leg,17
12,artic_suppression,arm,9
12,artic_suppression,leg,15
12,control,arm,4
12,control,leg,3
12,leg_paradi,arm,5
12,leg_paradi,leg,12
13,arm_paradi,arm,26
13,arm_paradi,leg,23
13,artic_suppression,arm,34
13,artic_suppression,leg,28
13,control,arm,10
13,control,leg,15
13,leg_paradi,arm,25
13,leg_paradi,leg,33
14,arm_paradi,arm,22
14,arm_paradi,leg,14
14,artic_suppression,arm,29
14,artic_suppression,leg,26
14,control,arm,15
14,control,leg,11
14,leg_paradi,arm,17
14,leg_paradi,leg,19
15,arm_paradi,arm,6
15,arm_paradi,leg,11
15,artic_suppression,arm,28
15,artic_suppression,leg,23
15,control,arm,5
15,control,leg,11
15,leg_paradi,arm,10
15,leg_paradi,leg,18
