ID_unique,ID,block,block_type,trial_block,word_type,trial_exp,word_pos,verb,transcription,error
1_2020_Oct_30_1334,1,1,CONTROL,1,arm,1,1,gripa,dunka banka,1
1_2020_Oct_30_1334,1,1,CONTROL,1,arm,1,2,dunka,dunka banka,0
1_2020_Oct_30_1334,1,1,CONTROL,1,arm,1,3,banka,dunka banka,0
1_2020_Oct_30_1334,1,1,CONTROL,1,arm,1,4,grabba,dunka banka,1
1_2020_Oct_30_1334,1,1,CONTROL,2,arm,2,1,klösa,klösa hacka fånga knacka,0
1_2020_Oct_30_1334,1,1,CONTROL,2,arm,2,2,hacka,klösa hacka fånga knacka,0
1_2020_Oct_30_1334,1,1,CONTROL,2,arm,2,3,fånga,klösa hacka fånga knacka,0
1_2020_Oct_30_1334,1,1,CONTROL,2,arm,2,4,knacka,klösa hacka fånga knacka,0
1_2020_Oct_30_1334,1,1,CONTROL,3,leg,3,1,traska,traska snubbla vingla vackla,0
1_2020_Oct_30_1334,1,1,CONTROL,3,leg,3,2,snubbla,traska snubbla vingla vackla,0
1_2020_Oct_30_1334,1,1,CONTROL,3,leg,3,3,vingla,traska snubbla vingla vackla,0
1_2020_Oct_30_1334,1,1,CONTROL,3,leg,3,4,vackla,traska snubbla vingla vackla,0
1_2020_Oct_30_1334,1,1,CONTROL,4,arm,4,1,klappa,klacka slinga klunga,1
1_2020_Oct_30_1334,1,1,CONTROL,4,arm,4,2,skala,klacka slinga klunga,1
1_2020_Oct_30_1334,1,1,CONTROL,4,arm,4,3,slunga,klacka slinga klunga,1
1_2020_Oct_30_1334,1,1,CONTROL,4,arm,4,4,klicka,klacka slinga klunga,1
1_2020_Oct_30_1334,1,1,CONTROL,5,arm,5,1,linda,linda nypa putta,0
1_2020_Oct_30_1334,1,1,CONTROL,5,arm,5,2,nypa,linda nypa putta,0
1_2020_Oct_30_1334,1,1,CONTROL,5,arm,5,3,pilla,linda nypa putta,1
1_2020_Oct_30_1334,1,1,CONTROL,5,arm,5,4,putta,linda nypa putta,0
1_2020_Oct_30_1334,1,1,CONTROL,6,leg,6,1,tassa,tassa halka cykla skejta,0
1_2020_Oct_30_1334,1,1,CONTROL,6,leg,6,2,halta,tassa halka cykla skejta,1
1_2020_Oct_30_1334,1,1,CONTROL,6,leg,6,3,cykla,tassa halka cykla skejta,0
1_2020_Oct_30_1334,1,1,CONTROL,6,leg,6,4,skejta,tassa halka cykla skejta,0
1_2020_Oct_30_1334,1,1,CONTROL,7,leg,7,1,promenera,promenera ila vanka skutta,0
1_2020_Oct_30_1334,1,1,CONTROL,7,leg,7,2,ila,promenera ila vanka skutta,0
1_2020_Oct_30_1334,1,1,CONTROL,7,leg,7,3,vanka,promenera ila vanka skutta,0
1_2020_Oct_30_1334,1,1,CONTROL,7,leg,7,4,stiga,promenera ila vanka skutta,1
1_2020_Oct_30_1334,1,1,CONTROL,8,arm,8,1,skura,skura signera viska daska,0
1_2020_Oct_30_1334,1,1,CONTROL,8,arm,8,2,signera,skura signera viska daska,0
1_2020_Oct_30_1334,1,1,CONTROL,8,arm,8,3,vika,skura signera viska daska,1
1_2020_Oct_30_1334,1,1,CONTROL,8,arm,8,4,daska,skura signera viska daska,0
1_2020_Oct_30_1334,1,1,CONTROL,9,leg,9,1,ragla,ragla flanera marschera löpa,0
1_2020_Oct_30_1334,1,1,CONTROL,9,leg,9,2,flanera,ragla flanera marschera löpa,0
1_2020_Oct_30_1334,1,1,CONTROL,9,leg,9,3,marschera,ragla flanera marschera löpa,0
1_2020_Oct_30_1334,1,1,CONTROL,9,leg,9,4,löpa,ragla flanera marschera löpa,0
1_2020_Oct_30_1334,1,1,CONTROL,10,leg,10,1,kliva,kliva tåga halka skynda,0
1_2020_Oct_30_1334,1,1,CONTROL,10,leg,10,2,tåga,kliva tåga halka skynda,0
1_2020_Oct_30_1334,1,1,CONTROL,10,leg,10,3,halka,kliva tåga halka skynda,0
1_2020_Oct_30_1334,1,1,CONTROL,10,leg,10,4,skynda,kliva tåga halka skynda,0
1_2020_Oct_30_1334,1,1,CONTROL,11,leg,11,1,stövla,stövla springa halka skutta,0
