Subject,Item,Response
1,1,1
1,2,1
1,3,1
1,4,1
1,5,1
1,6,1
1,7,1
1,8,-1
1,9,1
1,10,1
2,1,1
2,2,1
2,3,1
2,4,1
2,5,1
2,6,-1
2,7,1
2,8,1
2,9,1
2,10,1
3,1,2
3,2,2
3,3,1
3,4,2
3,5,2
3,6,1
3,7,1
3,8,1
3,9,2
3,10,1
4,1,2
4,2,2
4,3,2
4,4,2
4,5,0
4,6,1
4,7,2
4,8,0
4,9,1
4,10,0
5,1,2
5,2,2
5,3,2
5,4,2
5,5,2
5,6,1
5,7,1
5,8,1
5,9,2
5,10,0
6,1,1
6,2,1
6,3,1
6,4,1
6,5,1
6,6,1
6,7,1
6,8,1
6,9,1
6,10,1
7,1,1
7,2,1
7,3,0
7,4,1
7,5,1
7,6,1
7,7,1
7,8,1
7,9,1
7,10,0
8,1,2
8,2,2
8,3,1
8,4,2
8,5,1
8,6,2
8,7,1
8,8,2
8,9,2
8,10,0
9_2020_Nov_13_0848,1,1
9_2020_Nov_13_0848,2,1
9_2020_Nov_13_0848,3,1
9_2020_Nov_13_0848,4,1
9_2020_Nov_13_0848,5,1
9_2020_Nov_13_0848,6,1
9_2020_Nov_13_0848,7,1
9_2020_Nov_13_0848,8,1
9_2020_Nov_13_0848,9,1
9_2020_Nov_13_0848,10,1
9_2020_Nov_20_1107,1,1
9_2020_Nov_20_1107,2,1
9_2020_Nov_20_1107,3,1
9_2020_Nov_20_1107,4,1
9_2020_Nov_20_1107,5,1
9_2020_Nov_20_1107,6,1
9_2020_Nov_20_1107,7,1
9_2020_Nov_20_1107,8,1
9_2020_Nov_20_1107,9,1
9_2020_Nov_20_1107,10,1
10,1,2
10,2,2
10,3,0
10,4,1
10,5,0
10,6,1
10,7,2
10,8,1
10,9,2
10,10,0
11,1,1
11,2,1
11,3,1
11,4,1
11,5,1
11,6,1
11,7,1
11,8,1
11,9,1
11,10,1
12,1,2
12,2,2
12,3,2
12,4,0
12,5,0
12,6,0
12,7,1
12,8,1
12,9,0
12,10,0
13,1,1
13,2,1
13,3,1
13,4,1
13,5,1
13,6,1
13,7,1
13,8,1
13,9,1
13,10,1
14,1,2
14,2,1
14,3,1
14,4,2
14,5,1
14,6,2
14,7,1
14,8,1
14,9,1
14,10,1
15,1,2
15,2,2
15,3,1
15,4,0
15,5,0
15,6,1
15,7,2
15,8,0
15,9,2
15,10,1
16,1,1
16,2,1
16,3,1
16,4,1
16,5,1
16,6,1
16,7,1
16,8,1
16,9,1
16,10,1
17,1,1
17,2,1
17,3,1
17,4,1
17,5,1
17,6,1
17,7,1
17,8,1
17,9,1
17,10,1
18,1,2
18,2,2
18,3,2
18,4,2
18,5,2
18,6,2
18,7,2
18,8,1
18,9,1
18,10,1
19,1,1
19,2,1
19,3,1
19,4,1
19,5,1
19,6,1
19,7,1
19,8,0
19,9,1
19,10,0
20,1,2
20,2,2
20,3,1
20,4,2
20,5,1
20,6,2
20,7,1
20,8,2
20,9,2
20,10,1
21,1,2
21,2,2
21,3,0
21,4,1
21,5,1
21,6,0
21,7,0
21,8,0
21,9,0
21,10,0
22,1,1
22,2,1
22,3,0
22,4,1
22,5,1
22,6,1
22,7,1
22,8,1
22,9,1
22,10,0
23,1,2
23,2,1
23,3,1
23,4,1
23,5,1
23,6,1
23,7,1
23,8,0
23,9,1
23,10,0
24,1,2
24,2,2
24,3,2
24,4,2
24,5,2
24,6,2
24,7,1
24,8,1
24,9,1
24,10,1
25,1,1
25,2,1
25,3,1
25,4,1
25,5,1
25,6,1
25,7,1
