ID_unique,sex,age,highest_education,BPM_hands,BPM_feet,hand_quot
1_2020_Oct_30_1334,kvinna,27,Kandidatexamen,180,170,40
2_2020_Nov_25_1038,kvinna,26,Kandidatexamen,240,250,40
3_2020_Nov_04_1332,man,25,Kandidatexamen,200,170,75
4_2020_Nov_04_1532,kvinna,25,Gymasium,180,140,60
5_2020_Nov_06_0835,man,18,Gymnasium,450,280,75
6_2020_Nov_11_1018,kvinna,19,Gymnasium,160,160,50
7_2020_Nov_11_1306,kvinna,29,Kandidatexamen,220,260,40
8_2020_Nov_11_1630,annat,23,Masterexamen,170,160,75
9_2020_Nov_20_1107,kvinna,27,Kandidatexamen,220,220,50
9_2020_Nov_13_0848,kvinna,20,Läkarprogrammet KI,230,260,50
10_2020_Nov_13_1104,kvinna,19,Kandidatexamen,220,200,55
11_2020_Nov_13_1332,man,19,Kandidatexamen,320,260,50
12_2020_Nov_13_1530,man,23,Gymnasium,230,160,40
13_2020_Nov_20_1331,kvinna,20,Kandidatexamen,180,180,50
14_2020_Nov_20_1526,kvinna,21,Kandidatexamen,200,210,65
15_2020_Nov_25_1534,kvinna,19,Gymnasium,140,150,55
16_2020_Nov_27_0830,man,28,Masterexamen,200,160,50
17_2020_Nov_27_1026,man,30,Masterexamen,190,150,50
18_2020_Nov_27_1535,kvinna,29,Masterexamen,180,180,85
19_2021_Apr_23_1500,man,26,Gymnasium,200,240,40
20_2020_Dec_04_1519,man,25,Gymnasium,210,210,80
21_2020_Dec_09_1334,man,28,blank,180,130,30
22_2020_Dec_11_0846,kvinna,21,Gymnasium,130,140,40
23_2020_Dec_11_1037,kvinna,26,Kandidatexamen,310,220,45
24_2020_Dec_11_1332,kvinna,26,Forskarutbildning,210,180,80
25_2020_Dec_16_1532,kvinna,21,Gymnasium,220,230,50
26_2020_Dec_18_1336,kvinna,25,Kandidatexamen,230,180,70
27_2021_Feb_03_1312,man,30,Gymnasium,220,190,40
28_2021_Feb_03_1459,man,26,Gymnasium,280,180,35
29_2021_Feb_05_1034,man,20,Kandidatexamen,230,180,40
30_2021_Feb_05_1508,kvinna,26,Gymnasium,150,160,80
31_2021_Feb_10_1034,man,25,Kandidatexamen,210,150,30
32_2021_May_05_1032,kvinna,23,Kandidatexamen,180,160,50
33_2021_Feb_12_0822,kvinna,28,Masterexamen,210,160,40
34_2021_Feb_12_1023,kvinna,28,Folkhögskola,150,160,50
35_2021_Feb_17_1032,kvinna,24,Kandidatexamen,240,240,50
36_2021_Feb_19_1027,kvinna,24,Kandidatexamen,170,190,95
37_2021_Feb_19_1309,man,24,Gymnasium,210,200,50
38_2021_Feb_24_1032,man,29,Masterexamen,260,220,70
39_2021_Feb_24_1456,kvinna,25,Gymnasium,240,220,50
40_2021_Mar_03_0838,man,30,Gymnasium,250,180,75
41_2021_Mar_03_1035,kvinna,21,Kandidatexamen,190,190,100
42_2021_Mar_03_1307,man,26,Kandidatexamen,250,200,50
43_2021_May_05_1303,man,37,Masterexamen,120,100,50
44_2021_Mar_05_0836,kvinna,26,Folkhögskola/yrkeshögskola,270,210,55
45_2021_Mar_05_1501,man,31,Masterexamen,220,190,80
46_2021_Mar_10_1030,kvinna,26,Kandidatexamen,250,200,55
47_2021_Mar_17_1501,kvinna,23,Kandidatexamen,200,190,70
48_2021_Mar_24_1311,kvinna,24,Kandidatexamen,180,190,85
49_2021_Mar_31_1459,man/annat,20,Gymnasium,150,150,50
50_2021_Apr_02_0827,kvinna,18,Gymnasium,200,180,15
51_2021_Apr_09_0829,kvinna,26,Kandidatexamen,180,140,50
52_2021_Apr_09_1311,man,29,Kandidatexamen,160,170,50
53_2021_May_12_0839,man,25,blank,340,270,60
54_2021_May_12_1033,man,31,Yrkeshögskola,340,290,40
55_2021_Apr_16_1503,kvinna,24,Masterexamen,160,150,55
56_2021_Apr_21_1031,kvinna,22,Lärarutbildning i svenska och religion,120,150,60
57_2021_May_12_1503,man,19,Kandidatexamen,200,210,60
58_2021_May_14_1300,kvinna,29,Masterexamen,180,190,35
59_2021_May_19_0836,blank (deltagaren glömde nog - man),19,Kandidatexamen,230,200,45
60_2021_May_19_1031,kvinna,24,Gymnasium,150,140,50
61_2021_May_19_1501,blank (deltagaren glömde nog - kvinna),28,Kandidatexamen,170,150,55
62_2021_May_21_1026,kvinna,33,Folkhögskola,240,210,40
63_2021_May_21_1301,kvinna,20,Kandidatexamen,160,210,75
64_2021_May_21_1502,man,31,Folkhögskola/yrkeshögskola,170,130,100
65_2021_May_26_1033,kvinna,38,Kandidatexamen,190,170,45
66_2021_May_26_1302,kvinna,23,Masterexamen,220,260,75
67_2021_May_26_1503,kvinna,21,Gymnasium,170,170,60
68_2021_May_28_0841,kvinna,28,Kandidatexamen,150,110,50
69_2021_May_28_1031,kvinna,23,Folkhögskola,240,220,50
70_2021_May_28_1301,man,33,Yrkeshögskola,140,180,40
71_2021_Jun_02_1500,kvinna,20,Folkhögskola/yrkeshögskola,240,180,60
72_2021_Jun_04_0833,kvinna,29,Kandidatexamen,200,200,55
73_2021_Jun_04_1319,man,29,Master/magisterexamen,440,350,50
74_2021_Jun_09_1037,kvinna,29,Yrkeshögskola,130,150,45
75_2021_Jun_09_1502,man,27,Folkhögskola/yrkeshögskola,240,170,80
76_2021_Jun_18_1027,kvinna,40,Folkhögskola/yrkeshögskola,170,180,50
