type,word1,word2,word3,word4,BlockType,ShortInstr,LongInstr,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,word_presentation_practice.thisRepN,word_presentation_practice.thisTrialN,word_presentation_practice.thisN,word_presentation_practice.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
training,vakna,lukta,grubbla,anta,,,,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,space,22.5969764,,,,,,,,,2020_Nov_13_1104,60.0450217611,sp13_replication_swe,1,10,
training,stanna,falla,skratta,viska,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,space,7.2185812,,,,,,,,,2020_Nov_13_1104,60.0450217611,sp13_replication_swe,1,10,
training,le,gråta,sova,prata,,,,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,space,8.72393819998,,,,,,,,,2020_Nov_13_1104,60.0450217611,sp13_replication_swe,1,10,
training,ropa,rodna,titta,smaka,,,,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,space,8.78728199998,,,,,,,,,2020_Nov_13_1104,60.0450217611,sp13_replication_swe,1,10,
training,titta,grubbla,stanna,anta,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,space,26.5168456,b,18.3909675,return,975.4482596,space,11.528331,,,2020_Nov_13_1104,60.0450217611,sp13_replication_swe,1,10,
training,lukta,vakna,rodna,ropa,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,1,,,,,space,46.9170811,,,,,,,,,2020_Nov_13_1104,60.0450217611,sp13_replication_swe,1,10,
training,skratta,sova,viska,smaka,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,3,,,,,space,39.5680504,,,,,,,,,2020_Nov_13_1104,60.0450217611,sp13_replication_swe,1,10,
training,falla,le,gråta,prata,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,2,,,,,space,9.4854183,,,,,,,,,2020_Nov_13_1104,60.0450217611,sp13_replication_swe,1,10,
leg,trampa,jogga,lunka,rusa,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,space,8.15506780002,b,36.9873535,,,,,space,2.41671630001,2020_Nov_13_1104,60.0450217611,sp13_replication_swe,1,10,
leg,vada,trippa,stå,linka,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,1,1,1,space,23.3898857,,,,,,,,,2020_Nov_13_1104,60.0450217611,sp13_replication_swe,1,10,
leg,stövla,springa,svaja,skutta,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,2,2,2,space,23.6528971,,,,,,,,,2020_Nov_13_1104,60.0450217611,sp13_replication_swe,1,10,
arm,linda,nypa,pilla,putta,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,3,3,3,space,11.6153205,,,,,,,,,2020_Nov_13_1104,60.0450217611,sp13_replication_swe,1,10,
arm,sno,greppa,plocka,hiva,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,4,4,4,space,8.3514712,,,,,,,,,2020_Nov_13_1104,60.0450217611,sp13_replication_swe,1,10,
arm,repa,norpa,borsta,karva,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,5,5,5,space,10.4741796,,,,,,,,,2020_Nov_13_1104,60.0450217611,sp13_replication_swe,1,10,
leg,smyga,hoppa,knalla,skrida,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,6,6,6,space,11.8512201,,,,,,,,,2020_Nov_13_1104,60.0450217611,sp13_replication_swe,1,10,
arm,klösa,hacka,fånga,knacka,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,7,7,7,space,15.658426,,,,,,,,,2020_Nov_13_1104,60.0450217611,sp13_replication_swe,1,10,
arm,knycka,hissa,tvätta,slå,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,8,8,8,space,30.1863411,,,,,,,,,2020_Nov_13_1104,60.0450217611,sp13_replication_swe,1,10,
leg,stappla,glida,kila,stampa,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,9,9,9,space,15.7357868,,,,,,,,,2020_Nov_13_1104,60.0450217611,sp13_replication_swe,1,10,
arm,polera,rista,piska,klippa,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,10,10,10,space,21.9899872,,,,,,,,,2020_Nov_13_1104,60.0450217611,sp13_replication_swe,1,10,
arm,vira,gnugga,torka,rycka,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,11,11,11,space,20.1680132,,,,,,,,,2020_Nov_13_1104,60.0450217611,sp13_replication_swe,1,10,
leg,gå,ströva,sparka,knäa,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,12,12,12,space,23.5686941,,,,,,,,,2020_Nov_13_1104,60.0450217611,sp13_replication_swe,1,10,
leg,traska,snubbla,vingla,vackla,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,13,13,13,space,8.05267780001,,,,,,,,,2020_Nov_13_1104,60.0450217611,sp13_replication_swe,1,10,
leg,fly,pinna,vandra,svassa,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,14,14,14,space,9.3413616,,,,,,,,,2020_Nov_13_1104,60.0450217611,sp13_replication_swe,1,10,
