type,word1,word2,word3,word4,BlockType,ShortInstr,LongInstr,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,word_presentation_practice.thisRepN,word_presentation_practice.thisTrialN,word_presentation_practice.thisN,word_presentation_practice.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
training,stanna,ropa,titta,vakna,,,,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,space,13.9269696,,,,,,,,,2020_Oct_30_1334,59.21273121,sp13_replication_swe,1,1,
training,smaka,rodna,grubbla,skratta,,,,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,space,11.3968558,,,,,,,,,2020_Oct_30_1334,59.21273121,sp13_replication_swe,1,1,
training,viska,prata,le,lukta,,,,0,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,,space,14.5370471,,,,,,,,,2020_Oct_30_1334,59.21273121,sp13_replication_swe,1,1,
training,anta,sova,gråta,falla,,,,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,space,10.757556,,,,,,,,,2020_Oct_30_1334,59.21273121,sp13_replication_swe,1,1,
training,grubbla,ropa,prata,stanna,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,3,,,,,space,12.3013877,b,10.2070752,return,66.8487213,space,7.98003039998,,,2020_Oct_30_1334,59.21273121,sp13_replication_swe,1,1,
training,falla,skratta,vakna,viska,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,1,,,,,space,16.4630988,,,,,,,,,2020_Oct_30_1334,59.21273121,sp13_replication_swe,1,1,
training,anta,sova,rodna,smaka,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,2,,,,,space,14.0554954,,,,,,,,,2020_Oct_30_1334,59.21273121,sp13_replication_swe,1,1,
training,le,titta,lukta,gråta,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,0,,,,,space,13.65979,,,,,,,,,2020_Oct_30_1334,59.21273121,sp13_replication_swe,1,1,
arm,gripa,dunka,banka,grabba,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,space,14.1018707,b,49.7058414,,,,,space,3.10042460001,2020_Oct_30_1334,59.21273121,sp13_replication_swe,1,1,
arm,klösa,hacka,fånga,knacka,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,1,1,1,space,12.1938925,,,,,,,,,2020_Oct_30_1334,59.21273121,sp13_replication_swe,1,1,
