type,word1,word2,word3,word4,BlockType,ShortInstr,LongInstr,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,word_presentation_practice.thisRepN,word_presentation_practice.thisTrialN,word_presentation_practice.thisN,word_presentation_practice.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
training,le,prata,stanna,lukta,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,space,8.8022063,,,,,,,,,2020_Dec_11_1332,59.7737206095,sp13_replication_swe,1,24,
training,gråta,vakna,rodna,sova,,,,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,space,8.57563910002,,,,,,,,,2020_Dec_11_1332,59.7737206095,sp13_replication_swe,1,24,
training,grubbla,anta,smaka,falla,,,,0,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,,space,9.64853270003,,,,,,,,,2020_Dec_11_1332,59.7737206095,sp13_replication_swe,1,24,
training,skratta,ropa,titta,viska,,,,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,space,11.7203721,,,,,,,,,2020_Dec_11_1332,59.7737206095,sp13_replication_swe,1,24,
training,stanna,gråta,prata,lukta,ARM,få göra en rytmisk rörelse med dina händer,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina händer. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,2,,,,,space,17.4077529,b,4.94747459999,return,1367.928509,space,55.3565352,,,2020_Dec_11_1332,59.7737206095,sp13_replication_swe,1,24,
training,falla,le,skratta,titta,ARM,få göra en rytmisk rörelse med dina händer,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina händer. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,3,,,,,space,7.81778500002,,,,,,,,,2020_Dec_11_1332,59.7737206095,sp13_replication_swe,1,24,
training,ropa,anta,grubbla,smaka,ARM,få göra en rytmisk rörelse med dina händer,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina händer. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,1,,,,,space,9.7324378,,,,,,,,,2020_Dec_11_1332,59.7737206095,sp13_replication_swe,1,24,
training,viska,sova,rodna,vakna,ARM,få göra en rytmisk rörelse med dina händer,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina händer. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,0,,,,,space,5.8349326,,,,,,,,,2020_Dec_11_1332,59.7737206095,sp13_replication_swe,1,24,
leg,tassa,halta,cykla,skejta,ARM,få göra en rytmisk rörelse med dina händer,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina händer. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,space,7.64237810002,b,17.6403924,,,,,space,2.75023859998,2020_Dec_11_1332,59.7737206095,sp13_replication_swe,1,24,
leg,traska,snubbla,vingla,vackla,ARM,få göra en rytmisk rörelse med dina händer,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina händer. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,1,1,1,space,7.3394725,,,,,,,,,2020_Dec_11_1332,59.7737206095,sp13_replication_swe,1,24,
