type,word1,word2,word3,word4,BlockType,ShortInstr,LongInstr,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,word_presentation_practice.thisRepN,word_presentation_practice.thisTrialN,word_presentation_practice.thisN,word_presentation_practice.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
training,anta,falla,le,grubbla,,,,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,space,19.2026625001,,,,,,,,,2021_Feb_05_1508,59.7270593613,sp13_replication_swe,1,30,
training,gråta,stanna,prata,vakna,,,,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,space,18.7809960996,,,,,,,,,2021_Feb_05_1508,59.7270593613,sp13_replication_swe,1,30,
training,sova,rodna,lukta,ropa,,,,0,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,,space,7.26392890001,,,,,,,,,2021_Feb_05_1508,59.7270593613,sp13_replication_swe,1,30,
training,titta,skratta,viska,smaka,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,space,10.7995461999,,,,,,,,,2021_Feb_05_1508,59.7270593613,sp13_replication_swe,1,30,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,m,49.2881932999,,,,,,,2021_Feb_05_1508,59.7270593613,sp13_replication_swe,1,30,
training,anta,falla,le,grubbla,,,,1,0,1,0,0,0,0,2,,,,,,,,,,,,,,,,,space,5.57696980005,,,,,,,,,2021_Feb_05_1508,59.7270593613,sp13_replication_swe,1,30,
training,sova,rodna,lukta,ropa,,,,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,space,7.11764070019,,,,,,,,,2021_Feb_05_1508,59.7270593613,sp13_replication_swe,1,30,
training,gråta,stanna,prata,vakna,,,,1,0,1,0,0,2,2,0,,,,,,,,,,,,,,,,,space,10.0816114,,,,,,,,,2021_Feb_05_1508,59.7270593613,sp13_replication_swe,1,30,
training,titta,skratta,viska,smaka,,,,1,0,1,0,0,3,3,3,,,,,,,,,,,,,,,,,space,6.9235549001,,,,,,,,,2021_Feb_05_1508,59.7270593613,sp13_replication_swe,1,30,
training,titta,ropa,falla,skratta,ARM,få göra en rytmisk rörelse med dina händer,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina händer. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,1,0,1,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,space,19.6595429,b,11.9930121,return,656.6592276,space,47.7043391,,,2021_Feb_05_1508,59.7270593613,sp13_replication_swe,1,30,
training,grubbla,stanna,rodna,sova,ARM,få göra en rytmisk rörelse med dina händer,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina händer. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,1,0,1,0,,,,,0,0,0,0,0,0,0,0,0,1,1,3,,,,,space,11.3110781,,,,,,,,,2021_Feb_05_1508,59.7270593613,sp13_replication_swe,1,30,
training,vakna,le,anta,gråta,ARM,få göra en rytmisk rörelse med dina händer,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina händer. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,1,0,1,0,,,,,0,0,0,0,0,0,0,0,0,2,2,2,,,,,space,10.7977274996,,,,,,,,,2021_Feb_05_1508,59.7270593613,sp13_replication_swe,1,30,
training,smaka,prata,lukta,viska,ARM,få göra en rytmisk rörelse med dina händer,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina händer. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,1,0,1,0,,,,,0,0,0,0,0,0,0,0,0,3,3,1,,,,,space,8.49809239991,,,,,,,,,2021_Feb_05_1508,59.7270593613,sp13_replication_swe,1,30,
,,,,,ARM,få göra en rytmisk rörelse med dina händer,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina händer. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,1,0,1,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,m,5.37509680027,,,,,,,2021_Feb_05_1508,59.7270593613,sp13_replication_swe,1,30,
training,grubbla,stanna,rodna,sova,ARM,få göra en rytmisk rörelse med dina händer,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina händer. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,1,0,1,0,,,,,0,0,0,0,1,0,1,0,0,0,0,3,,,,,space,8.77828160021,,,,,,,,,2021_Feb_05_1508,59.7270593613,sp13_replication_swe,1,30,
training,vakna,le,anta,gråta,ARM,få göra en rytmisk rörelse med dina händer,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina händer. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,1,0,1,0,,,,,0,0,0,0,1,0,1,0,0,1,1,2,,,,,space,8.09019239992,,,,,,,,,2021_Feb_05_1508,59.7270593613,sp13_replication_swe,1,30,
training,titta,ropa,falla,skratta,ARM,få göra en rytmisk rörelse med dina händer,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina händer. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,1,0,1,0,,,,,0,0,0,0,1,0,1,0,0,2,2,0,,,,,space,7.34503960004,,,,,,,,,2021_Feb_05_1508,59.7270593613,sp13_replication_swe,1,30,
training,smaka,prata,lukta,viska,ARM,få göra en rytmisk rörelse med dina händer,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina händer. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,1,0,1,0,,,,,0,0,0,0,1,0,1,0,0,3,3,1,,,,,space,9.44662780035,,,,,,,,,2021_Feb_05_1508,59.7270593613,sp13_replication_swe,1,30,
arm,skala,vika,slunga,peta,ARM,få göra en rytmisk rörelse med dina händer,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina händer. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,1,0,1,0,,,,,0,0,0,0,1,0,1,0,,,,,0,0,0,0,space,10.0440241001,b,44.1744525,,,,,space,2.7837077002,2021_Feb_05_1508,59.7270593613,sp13_replication_swe,1,30,
leg,vandra,flanera,stappla,vanka,ARM,få göra en rytmisk rörelse med dina händer,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina händer. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,1,0,1,0,,,,,0,0,0,0,1,0,1,0,,,,,0,1,1,1,space,46.0057575,,,,,,,,,2021_Feb_05_1508,59.7270593613,sp13_replication_swe,1,30,
arm,pilla,bulta,plocka,klappa,ARM,få göra en rytmisk rörelse med dina händer,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina händer. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,1,0,1,0,,,,,0,0,0,0,1,0,1,0,,,,,0,2,2,2,space,8.24217729969,,,,,,,,,2021_Feb_05_1508,59.7270593613,sp13_replication_swe,1,30,
arm,torka,fläta,snärta,klösa,ARM,få göra en rytmisk rörelse med dina händer,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina händer. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,1,0,1,0,,,,,0,0,0,0,1,0,1,0,,,,,0,3,3,3,space,4.63859729981,,,,,,,,,2021_Feb_05_1508,59.7270593613,sp13_replication_swe,1,30,
leg,marschera,ränna,stövla,stega,ARM,få göra en rytmisk rörelse med dina händer,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina händer. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,1,0,1,0,,,,,0,0,0,0,1,0,1,0,,,,,0,4,4,4,space,8.21940759989,,,,,,,,,2021_Feb_05_1508,59.7270593613,sp13_replication_swe,1,30,
