type,word1,word2,word3,word4,BlockType,ShortInstr,LongInstr,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,word_presentation_practice.thisRepN,word_presentation_practice.thisTrialN,word_presentation_practice.thisN,word_presentation_practice.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
training,anta,lukta,rodna,titta,,,,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,space,11.7058009002,,,,,,,,,2021_Feb_10_1454,59.98757076,sp13_replication_swe,1,32,
training,ropa,le,sova,vakna,,,,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,space,6.97778460011,,,,,,,,,2021_Feb_10_1454,59.98757076,sp13_replication_swe,1,32,
training,smaka,gråta,grubbla,falla,,,,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,space,5.22557740007,,,,,,,,,2021_Feb_10_1454,59.98757076,sp13_replication_swe,1,32,
training,prata,viska,stanna,skratta,,,,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,,,space,9.37598379981,,,,,,,,,2021_Feb_10_1454,59.98757076,sp13_replication_swe,1,32,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,m,6.52602239978,,,,,,,2021_Feb_10_1454,59.98757076,sp13_replication_swe,1,32,
training,prata,viska,stanna,skratta,,,,1,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,space,4.22018679976,,,,,,,,,2021_Feb_10_1454,59.98757076,sp13_replication_swe,1,32,
training,anta,lukta,rodna,titta,,,,1,0,1,0,0,1,1,3,,,,,,,,,,,,,,,,,space,4.33618550003,,,,,,,,,2021_Feb_10_1454,59.98757076,sp13_replication_swe,1,32,
training,smaka,gråta,grubbla,falla,,,,1,0,1,0,0,2,2,0,,,,,,,,,,,,,,,,,space,3.71022249945,,,,,,,,,2021_Feb_10_1454,59.98757076,sp13_replication_swe,1,32,
training,ropa,le,sova,vakna,,,,1,0,1,0,0,3,3,2,,,,,,,,,,,,,,,,,space,3.51301500015,,,,,,,,,2021_Feb_10_1454,59.98757076,sp13_replication_swe,1,32,
training,lukta,stanna,ropa,falla,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,1,0,1,0,,,,,0,0,0,0,0,0,0,0,0,0,0,3,,,,,space,7.82557019964,b,36.9737350997,return,915.6079833,space,19.7570855003,,,2021_Feb_10_1454,59.98757076,sp13_replication_swe,1,32,
training,rodna,le,grubbla,sova,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,1,0,1,0,,,,,0,0,0,0,0,0,0,0,0,1,1,2,,,,,space,6.15716749988,,,,,,,,,2021_Feb_10_1454,59.98757076,sp13_replication_swe,1,32,
training,anta,vakna,skratta,viska,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,1,0,1,0,,,,,0,0,0,0,0,0,0,0,0,2,2,0,,,,,space,6.2401193995,,,,,,,,,2021_Feb_10_1454,59.98757076,sp13_replication_swe,1,32,
training,prata,titta,smaka,gråta,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,1,0,1,0,,,,,0,0,0,0,0,0,0,0,0,3,3,1,,,,,space,7.16231400054,,,,,,,,,2021_Feb_10_1454,59.98757076,sp13_replication_swe,1,32,
,,,,,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,1,0,1,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,m,3.34330730047,,,,,,,2021_Feb_10_1454,59.98757076,sp13_replication_swe,1,32,
training,rodna,le,grubbla,sova,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,1,0,1,0,,,,,0,0,0,0,1,0,1,0,0,0,0,2,,,,,space,4.36138790008,,,,,,,,,2021_Feb_10_1454,59.98757076,sp13_replication_swe,1,32,
training,anta,vakna,skratta,viska,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,1,0,1,0,,,,,0,0,0,0,1,0,1,0,0,1,1,0,,,,,space,6.78299770039,,,,,,,,,2021_Feb_10_1454,59.98757076,sp13_replication_swe,1,32,
training,lukta,stanna,ropa,falla,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,1,0,1,0,,,,,0,0,0,0,1,0,1,0,0,2,2,3,,,,,space,6.8025837997,,,,,,,,,2021_Feb_10_1454,59.98757076,sp13_replication_swe,1,32,
training,prata,titta,smaka,gråta,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,1,0,1,0,,,,,0,0,0,0,1,0,1,0,0,3,3,1,,,,,space,5.98424209934,,,,,,,,,2021_Feb_10_1454,59.98757076,sp13_replication_swe,1,32,
,,,,,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,1,0,1,0,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,m,1.52454570029,,,,,,,2021_Feb_10_1454,59.98757076,sp13_replication_swe,1,32,
training,lukta,stanna,ropa,falla,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,1,0,1,0,,,,,0,0,0,0,2,0,2,0,0,0,0,3,,,,,space,3.69495140016,,,,,,,,,2021_Feb_10_1454,59.98757076,sp13_replication_swe,1,32,
training,anta,vakna,skratta,viska,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,1,0,1,0,,,,,0,0,0,0,2,0,2,0,0,1,1,0,,,,,space,6.21675629914,,,,,,,,,2021_Feb_10_1454,59.98757076,sp13_replication_swe,1,32,
training,rodna,le,grubbla,sova,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,1,0,1,0,,,,,0,0,0,0,2,0,2,0,0,2,2,2,,,,,space,3.62293490022,,,,,,,,,2021_Feb_10_1454,59.98757076,sp13_replication_swe,1,32,
training,prata,titta,smaka,gråta,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,1,0,1,0,,,,,0,0,0,0,2,0,2,0,0,3,3,1,,,,,space,3.87077250052,,,,,,,,,2021_Feb_10_1454,59.98757076,sp13_replication_swe,1,32,
,,,,,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,1,0,1,0,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,m,0.960463999771,,,,,,,2021_Feb_10_1454,59.98757076,sp13_replication_swe,1,32,
training,prata,titta,smaka,gråta,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,1,0,1,0,,,,,0,0,0,0,3,0,3,0,0,0,0,1,,,,,space,4.91939339973,,,,,,,,,2021_Feb_10_1454,59.98757076,sp13_replication_swe,1,32,
training,anta,vakna,skratta,viska,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,1,0,1,0,,,,,0,0,0,0,3,0,3,0,0,1,1,0,,,,,space,4.25388849992,,,,,,,,,2021_Feb_10_1454,59.98757076,sp13_replication_swe,1,32,
training,rodna,le,grubbla,sova,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,1,0,1,0,,,,,0,0,0,0,3,0,3,0,0,2,2,2,,,,,space,9.08828670066,,,,,,,,,2021_Feb_10_1454,59.98757076,sp13_replication_swe,1,32,
training,lukta,stanna,ropa,falla,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,1,0,1,0,,,,,0,0,0,0,3,0,3,0,0,3,3,3,,,,,space,5.29429899994,,,,,,,,,2021_Feb_10_1454,59.98757076,sp13_replication_swe,1,32,
leg,vandra,stampa,skejta,ströva,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,1,0,1,0,,,,,0,0,0,0,3,0,3,0,,,,,0,0,0,0,space,7.67683850043,b,2.64370210003,,,,,space,3.59980639908,2021_Feb_10_1454,59.98757076,sp13_replication_swe,1,32,
leg,svaja,vackla,flanera,kila,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,1,0,1,0,,,,,0,0,0,0,3,0,3,0,,,,,0,1,1,1,space,15.9559255,,,,,,,,,2021_Feb_10_1454,59.98757076,sp13_replication_swe,1,32,
