type,word1,word2,word3,word4,BlockType,ShortInstr,LongInstr,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,word_presentation_practice.thisRepN,word_presentation_practice.thisTrialN,word_presentation_practice.thisN,word_presentation_practice.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
training,stanna,smaka,anta,rodna,,,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,space,8.7723088,,,,,,,,,2021_Mar_03_0838,59.9523259103,sp13_replication_swe,1,40,
training,le,lukta,vakna,prata,,,,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,space,10.2620567,,,,,,,,,2021_Mar_03_0838,59.9523259103,sp13_replication_swe,1,40,
training,gråta,titta,viska,falla,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,space,4.7554587,,,,,,,,,2021_Mar_03_0838,59.9523259103,sp13_replication_swe,1,40,
training,grubbla,ropa,skratta,sova,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,space,6.1771596,,,,,,,,,2021_Mar_03_0838,59.9523259103,sp13_replication_swe,1,40,
training,gråta,titta,le,falla,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,1,,,,,space,135.6944517,b,5.8132125,return,757.7350683,space,29.4558474,,,2021_Mar_03_0838,59.9523259103,sp13_replication_swe,1,40,
training,grubbla,prata,viska,smaka,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,3,,,,,space,10.2756141,,,,,,,,,2021_Mar_03_0838,59.9523259103,sp13_replication_swe,1,40,
training,skratta,vakna,anta,stanna,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,2,,,,,space,7.6491366,,,,,,,,,2021_Mar_03_0838,59.9523259103,sp13_replication_swe,1,40,
training,ropa,lukta,sova,rodna,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,0,,,,,space,7.7657865,,,,,,,,,2021_Mar_03_0838,59.9523259103,sp13_replication_swe,1,40,
arm,putta,daska,rycka,ösa,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,space,17.0159486,b,5.4568027,,,,,space,2.6338289,2021_Mar_03_0838,59.9523259103,sp13_replication_swe,1,40,
leg,vingla,knäa,ragla,cykla,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,1,1,1,space,6.6845141,,,,,,,,,2021_Mar_03_0838,59.9523259103,sp13_replication_swe,1,40,
