type,word1,word2,word3,word4,BlockType,ShortInstr,LongInstr,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,word_presentation_practice.thisRepN,word_presentation_practice.thisTrialN,word_presentation_practice.thisN,word_presentation_practice.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
training,stanna,rodna,grubbla,sova,,,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,space,20.150975,,,,,,,,,2021_Mar_03_1515,60.0996211327,sp13_replication_swe,1,43,
training,smaka,viska,vakna,le,,,,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,space,10.9416684,,,,,,,,,2021_Mar_03_1515,60.0996211327,sp13_replication_swe,1,43,
training,falla,anta,gråta,titta,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,space,13.66062,,,,,,,,,2021_Mar_03_1515,60.0996211327,sp13_replication_swe,1,43,
training,prata,ropa,skratta,lukta,,,,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,space,6.7644365,,,,,,,,,2021_Mar_03_1515,60.0996211327,sp13_replication_swe,1,43,
training,grubbla,vakna,titta,ropa,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,2,,,,,space,18.0090195,b,26.3742176,return,23.106305,space,9.2426939,,,2021_Mar_03_1515,60.0996211327,sp13_replication_swe,1,43,
training,le,sova,smaka,anta,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,1,,,,,space,10.2018828,,,,,,,,,2021_Mar_03_1515,60.0996211327,sp13_replication_swe,1,43,
training,viska,lukta,skratta,falla,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,3,,,,,space,8.0422304,,,,,,,,,2021_Mar_03_1515,60.0996211327,sp13_replication_swe,1,43,
training,rodna,gråta,prata,stanna,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,0,,,,,space,10.5179343,,,,,,,,,2021_Mar_03_1515,60.0996211327,sp13_replication_swe,1,43,
,,,,,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,m,9.8620504,,,,,,,2021_Mar_03_1515,60.0996211327,sp13_replication_swe,1,43,
training,le,sova,smaka,anta,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,1,0,1,0,0,0,0,1,,,,,space,13.5757556,,,,,,,,,2021_Mar_03_1515,60.0996211327,sp13_replication_swe,1,43,
