type,word1,word2,word3,word4,BlockType,ShortInstr,LongInstr,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,word_presentation_practice.thisRepN,word_presentation_practice.thisTrialN,word_presentation_practice.thisN,word_presentation_practice.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
training,le,smaka,skratta,sova,,,,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,space,16.1541836,,,,,,,,,2021_Apr_02_0827,59.977964096,sp13_replication_swe,1,50,
training,falla,rodna,viska,anta,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,space,19.8083801,,,,,,,,,2021_Apr_02_0827,59.977964096,sp13_replication_swe,1,50,
training,lukta,stanna,prata,gråta,,,,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,space,13.3263713,,,,,,,,,2021_Apr_02_0827,59.977964096,sp13_replication_swe,1,50,
training,titta,ropa,grubbla,vakna,,,,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,space,12.1513484,,,,,,,,,2021_Apr_02_0827,59.977964096,sp13_replication_swe,1,50,
training,prata,sova,rodna,titta,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,1,,,,,space,16.7914929,b,43.4215764,return,17.1964097,space,4.4113933,,,2021_Apr_02_0827,59.977964096,sp13_replication_swe,1,50,
training,ropa,vakna,viska,anta,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,0,,,,,space,5.5410968,,,,,,,,,2021_Apr_02_0827,59.977964096,sp13_replication_swe,1,50,
training,skratta,smaka,gråta,lukta,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,3,,,,,space,7.8297292,,,,,,,,,2021_Apr_02_0827,59.977964096,sp13_replication_swe,1,50,
training,falla,stanna,grubbla,le,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,2,,,,,space,5.8344019,,,,,,,,,2021_Apr_02_0827,59.977964096,sp13_replication_swe,1,50,
arm,hacka,sno,knycka,slipa,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,space,12.6438443,b,4.7223257,,,,,space,1.6331276,2021_Apr_02_0827,59.977964096,sp13_replication_swe,1,50,
arm,fläta,kasta,piska,karva,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,1,1,1,space,6.8619309,,,,,,,,,2021_Apr_02_0827,59.977964096,sp13_replication_swe,1,50,
