type,word1,word2,word3,word4,BlockType,ShortInstr,LongInstr,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,word_presentation_practice.thisRepN,word_presentation_practice.thisTrialN,word_presentation_practice.thisN,word_presentation_practice.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
training,rodna,prata,gråta,skratta,,,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,space,12.1653575001,,,,,,,,,2021_Apr_14_1301,59.9982601071,sp13_replication_swe,1,54,
training,stanna,anta,le,smaka,,,,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,space,9.15317890001,,,,,,,,,2021_Apr_14_1301,59.9982601071,sp13_replication_swe,1,54,
training,lukta,falla,sova,viska,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,space,8.85421309993,,,,,,,,,2021_Apr_14_1301,59.9982601071,sp13_replication_swe,1,54,
training,ropa,grubbla,vakna,titta,,,,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,space,8.34378140001,,,,,,,,,2021_Apr_14_1301,59.9982601071,sp13_replication_swe,1,54,
training,grubbla,anta,sova,rodna,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,1,,,,,space,16.7754629999,b,50.1866931,return,828.1157888,space,19.2951955001,,,2021_Apr_14_1301,59.9982601071,sp13_replication_swe,1,54,
training,smaka,skratta,prata,lukta,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,2,,,,,space,10.5077612,,,,,,,,,2021_Apr_14_1301,59.9982601071,sp13_replication_swe,1,54,
training,vakna,titta,falla,ropa,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,0,,,,,space,7.17286639987,,,,,,,,,2021_Apr_14_1301,59.9982601071,sp13_replication_swe,1,54,
training,stanna,viska,gråta,le,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,3,,,,,space,8.45745450002,,,,,,,,,2021_Apr_14_1301,59.9982601071,sp13_replication_swe,1,54,
,,,,,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,m,16.2730315002,,,,,,,2021_Apr_14_1301,59.9982601071,sp13_replication_swe,1,54,
training,vakna,titta,falla,ropa,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,1,0,1,0,0,0,0,0,,,,,space,4.85889400006,,,,,,,,,2021_Apr_14_1301,59.9982601071,sp13_replication_swe,1,54,
training,grubbla,anta,sova,rodna,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,1,0,1,0,0,1,1,1,,,,,space,10.8736420001,,,,,,,,,2021_Apr_14_1301,59.9982601071,sp13_replication_swe,1,54,
training,stanna,viska,gråta,le,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,1,0,1,0,0,2,2,3,,,,,space,4.76393530006,,,,,,,,,2021_Apr_14_1301,59.9982601071,sp13_replication_swe,1,54,
training,smaka,skratta,prata,lukta,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,1,0,1,0,0,3,3,2,,,,,space,8.74774600007,,,,,,,,,2021_Apr_14_1301,59.9982601071,sp13_replication_swe,1,54,
leg,trampa,traska,skrida,vanka,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,0,0,0,space,7.47778309998,b,3.2446771001,,,,,space,2.23353960016,2021_Apr_14_1301,59.9982601071,sp13_replication_swe,1,54,
arm,fläta,kasta,piska,karva,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,1,1,1,space,7.75432910002,,,,,,,,,2021_Apr_14_1301,59.9982601071,sp13_replication_swe,1,54,
leg,fly,tåga,stega,strutta,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,2,2,2,space,6.65516690002,,,,,,,,,2021_Apr_14_1301,59.9982601071,sp13_replication_swe,1,54,
leg,gå,knäa,pinna,linka,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,3,3,3,space,8.08981760009,,,,,,,,,2021_Apr_14_1301,59.9982601071,sp13_replication_swe,1,54,
leg,tassa,lunka,kliva,halka,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,4,4,4,space,6.26268159994,,,,,,,,,2021_Apr_14_1301,59.9982601071,sp13_replication_swe,1,54,
arm,knacka,gnugga,skrubba,skura,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,5,5,5,space,9.77807100001,,,,,,,,,2021_Apr_14_1301,59.9982601071,sp13_replication_swe,1,54,
