type,word1,word2,word3,word4,BlockType,ShortInstr,LongInstr,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,word_presentation_practice.thisRepN,word_presentation_practice.thisTrialN,word_presentation_practice.thisN,word_presentation_practice.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
training,vakna,ropa,stanna,falla,,,,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,space,18.9508746,,,,,,,,,2021_May_28_1031,59.9812738462,sp13_replication_swe,1,69,
training,le,sova,grubbla,lukta,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,space,16.9123096,,,,,,,,,2021_May_28_1031,59.9812738462,sp13_replication_swe,1,69,
training,prata,titta,anta,skratta,,,,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,space,5.7589401,,,,,,,,,2021_May_28_1031,59.9812738462,sp13_replication_swe,1,69,
training,gråta,viska,rodna,smaka,,,,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,space,3.8521919,,,,,,,,,2021_May_28_1031,59.9812738462,sp13_replication_swe,1,69,
training,titta,prata,stanna,grubbla,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,1,,,,,space,18.1720378,b,6.0582929,return,31.5614874,space,5.1123106,,,2021_May_28_1031,59.9812738462,sp13_replication_swe,1,69,
training,rodna,sova,ropa,gråta,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,3,,,,,space,7.1132064,,,,,,,,,2021_May_28_1031,59.9812738462,sp13_replication_swe,1,69,
training,lukta,falla,viska,skratta,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,0,,,,,space,5.9331827,,,,,,,,,2021_May_28_1031,59.9812738462,sp13_replication_swe,1,69,
training,smaka,anta,vakna,le,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,2,,,,,space,5.3168154,,,,,,,,,2021_May_28_1031,59.9812738462,sp13_replication_swe,1,69,
leg,tassa,lunka,kliva,halka,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,space,3.9923144,b,4.6580226,,,,,space,9.0164296,2021_May_28_1031,59.9812738462,sp13_replication_swe,1,69,
arm,skala,signera,hissa,plocka,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,1,1,1,space,4.3379707,,,,,,,,,2021_May_28_1031,59.9812738462,sp13_replication_swe,1,69,
arm,tvätta,hiva,peta,rista,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,2,2,2,space,6.5558697,,,,,,,,,2021_May_28_1031,59.9812738462,sp13_replication_swe,1,69,
leg,vandra,stampa,skejta,ströva,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,3,3,3,space,3.8117586,,,,,,,,,2021_May_28_1031,59.9812738462,sp13_replication_swe,1,69,
leg,vada,trippa,vingla,snava,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,4,4,4,space,4.8601672,,,,,,,,,2021_May_28_1031,59.9812738462,sp13_replication_swe,1,69,
arm,svabba,nypa,fila,borsta,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,5,5,5,space,3.6294243,,,,,,,,,2021_May_28_1031,59.9812738462,sp13_replication_swe,1,69,
leg,löpa,ränna,skutta,sparka,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,6,6,6,space,3.4799941,,,,,,,,,2021_May_28_1031,59.9812738462,sp13_replication_swe,1,69,
arm,ösa,snärta,rota,polera,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,7,7,7,space,4.3709886,,,,,,,,,2021_May_28_1031,59.9812738462,sp13_replication_swe,1,69,
arm,repa,rycka,daska,dunka,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,8,8,8,space,4.0422253,,,,,,,,,2021_May_28_1031,59.9812738462,sp13_replication_swe,1,69,
leg,trampa,traska,skrida,vanka,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,9,9,9,space,4.4778633,,,,,,,,,2021_May_28_1031,59.9812738462,sp13_replication_swe,1,69,
leg,springa,stappla,stövla,svassa,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,10,10,10,space,5.7217397,,,,,,,,,2021_May_28_1031,59.9812738462,sp13_replication_swe,1,69,
leg,jogga,halta,marschera,rusa,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,11,11,11,space,3.64766,,,,,,,,,2021_May_28_1031,59.9812738462,sp13_replication_swe,1,69,
arm,fläta,kasta,piska,karva,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,12,12,12,space,4.5669631,,,,,,,,,2021_May_28_1031,59.9812738462,sp13_replication_swe,1,69,
leg,svaja,vackla,flanera,kila,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,13,13,13,space,5.4418517,,,,,,,,,2021_May_28_1031,59.9812738462,sp13_replication_swe,1,69,
leg,glida,ragla,stå,stiga,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,14,14,14,space,4.7714108,,,,,,,,,2021_May_28_1031,59.9812738462,sp13_replication_swe,1,69,
arm,klappa,pilla,banka,putta,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,15,15,15,space,6.8571937,,,,,,,,,2021_May_28_1031,59.9812738462,sp13_replication_swe,1,69,
arm,vika,gripa,slå,torka,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,16,16,16,space,4.0648141,,,,,,,,,2021_May_28_1031,59.9812738462,sp13_replication_swe,1,69,
leg,promenera,knalla,hoppa,cykla,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,17,17,17,space,3.6730243,,,,,,,,,2021_May_28_1031,59.9812738462,sp13_replication_swe,1,69,
leg,gå,knäa,pinna,linka,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,18,18,18,space,3.8006043,,,,,,,,,2021_May_28_1031,59.9812738462,sp13_replication_swe,1,69,
arm,hacka,sno,knycka,slipa,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,19,19,19,space,4.1227786,,,,,,,,,2021_May_28_1031,59.9812738462,sp13_replication_swe,1,69,
arm,linda,grabba,klicka,vira,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,20,20,20,space,7.2355724,,,,,,,,,2021_May_28_1031,59.9812738462,sp13_replication_swe,1,69,
leg,ila,snubbla,skynda,smyga,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,21,21,21,space,5.3032717,,,,,,,,,2021_May_28_1031,59.9812738462,sp13_replication_swe,1,69,
arm,greppa,slunga,fånga,norpa,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,22,22,22,space,7.2414186,,,,,,,,,2021_May_28_1031,59.9812738462,sp13_replication_swe,1,69,
arm,bulta,skyffla,klippa,klösa,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,23,23,23,space,4.1803677,,,,,,,,,2021_May_28_1031,59.9812738462,sp13_replication_swe,1,69,
leg,fly,tåga,stega,strutta,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,24,24,24,space,3.7133113,,,,,,,,,2021_May_28_1031,59.9812738462,sp13_replication_swe,1,69,
arm,knacka,gnugga,skrubba,skura,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,25,25,25,space,3.1972249,,,,,,,,,2021_May_28_1031,59.9812738462,sp13_replication_swe,1,69,
,,,,,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,2021_May_28_1031,59.9812738462,sp13_replication_swe,1,69,
