type,word1,word2,word3,word4,BlockType,ShortInstr,LongInstr,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,word_presentation_practice.thisRepN,word_presentation_practice.thisTrialN,word_presentation_practice.thisN,word_presentation_practice.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
training,ropa,prata,le,gråta,,,,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,space,17.5994374,,,,,,,,,2021_Jun_04_1502,60.2845793908,sp13_replication_swe,1,74,
training,stanna,vakna,lukta,skratta,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,space,6.75395479996,,,,,,,,,2021_Jun_04_1502,60.2845793908,sp13_replication_swe,1,74,
training,viska,falla,rodna,anta,,,,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,space,7.29729280004,,,,,,,,,2021_Jun_04_1502,60.2845793908,sp13_replication_swe,1,74,
training,smaka,grubbla,sova,titta,,,,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,space,6.79494749999,,,,,,,,,2021_Jun_04_1502,60.2845793908,sp13_replication_swe,1,74,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,m,43.0730897001,,,,,,,2021_Jun_04_1502,60.2845793908,sp13_replication_swe,1,74,
training,smaka,grubbla,sova,titta,,,,1,0,1,0,0,0,0,2,,,,,,,,,,,,,,,,,space,13.9401296,,,,,,,,,2021_Jun_04_1502,60.2845793908,sp13_replication_swe,1,74,
training,stanna,vakna,lukta,skratta,,,,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,space,4.66434050002,,,,,,,,,2021_Jun_04_1502,60.2845793908,sp13_replication_swe,1,74,
training,ropa,prata,le,gråta,,,,1,0,1,0,0,2,2,3,,,,,,,,,,,,,,,,,space,4.07094450004,,,,,,,,,2021_Jun_04_1502,60.2845793908,sp13_replication_swe,1,74,
training,viska,falla,rodna,anta,,,,1,0,1,0,0,3,3,0,,,,,,,,,,,,,,,,,space,4.3414102,,,,,,,,,2021_Jun_04_1502,60.2845793908,sp13_replication_swe,1,74,
training,smaka,falla,ropa,viska,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",1,0,1,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,space,4.39079239999,b,3.29554760002,return,35.8089701,space,6.36186920002,,,2021_Jun_04_1502,60.2845793908,sp13_replication_swe,1,74,
training,anta,skratta,prata,grubbla,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",1,0,1,0,,,,,0,0,0,0,0,0,0,0,0,1,1,1,,,,,space,4.37579670001,,,,,,,,,2021_Jun_04_1502,60.2845793908,sp13_replication_swe,1,74,
training,rodna,gråta,titta,stanna,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",1,0,1,0,,,,,0,0,0,0,0,0,0,0,0,2,2,2,,,,,space,4.94756879995,,,,,,,,,2021_Jun_04_1502,60.2845793908,sp13_replication_swe,1,74,
training,vakna,lukta,le,sova,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",1,0,1,0,,,,,0,0,0,0,0,0,0,0,0,3,3,3,,,,,space,4.03474959999,,,,,,,,,2021_Jun_04_1502,60.2845793908,sp13_replication_swe,1,74,
