type,word1,word2,word3,word4,BlockType,ShortInstr,LongInstr,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,word_presentation_practice.thisRepN,word_presentation_practice.thisTrialN,word_presentation_practice.thisN,word_presentation_practice.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
training,viska,stanna,titta,skratta,,,,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,space,15.5961897,,,,,,,,,2020_Nov_25_1328,60.0048124086,sp13_replication_swe,1,9,
training,falla,rodna,gråta,lukta,,,,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,space,5.43560719991,,,,,,,,,2020_Nov_25_1328,60.0048124086,sp13_replication_swe,1,9,
training,le,grubbla,smaka,anta,,,,0,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,,space,6.09253130003,,,,,,,,,2020_Nov_25_1328,60.0048124086,sp13_replication_swe,1,9,
training,sova,prata,ropa,vakna,,,,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,space,6.5401945,,,,,,,,,2020_Nov_25_1328,60.0048124086,sp13_replication_swe,1,9,
training,skratta,lukta,smaka,prata,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,2,,,,,space,5.52009750006,b,10.5883572999,return,34.0908688001,space,5.72852399992,,,2020_Nov_25_1328,60.0048124086,sp13_replication_swe,1,9,
training,falla,sova,le,titta,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,3,,,,,space,5.1401661,,,,,,,,,2020_Nov_25_1328,60.0048124086,sp13_replication_swe,1,9,
training,ropa,anta,grubbla,vakna,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,1,,,,,space,6.45879230008,,,,,,,,,2020_Nov_25_1328,60.0048124086,sp13_replication_swe,1,9,
training,rodna,stanna,gråta,viska,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,0,,,,,space,6.03219219996,,,,,,,,,2020_Nov_25_1328,60.0048124086,sp13_replication_swe,1,9,
leg,springa,tåga,snubbla,glida,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,space,7.69680199993,b,3.02284350002,,,,,space,6.34968009999,2020_Nov_25_1328,60.0048124086,sp13_replication_swe,1,9,
leg,marschera,ränna,stövla,stega,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,1,1,1,space,13.0766235,,,,,,,,,2020_Nov_25_1328,60.0048124086,sp13_replication_swe,1,9,
arm,rista,kasta,slipa,klicka,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,2,2,2,space,15.5224292,,,,,,,,,2020_Nov_25_1328,60.0048124086,sp13_replication_swe,1,9,
