filename	transcription	comment	block	date_time	participant	trial
61_sp13_replication_swe_2021_May_19_1501_block_2_word_presentation_16.wav	svaja snubbla		2	2021/May/19/1501	61	16
47_sp13_replication_swe_2021_Mar_17_1501_block_2_word_presentation_1.wav	gå knäa vinka		2	2021/Mar/17/1501	47	1
24_sp13_replication_swe_2020_Dec_11_1332_block_3_word_presentation_4.wav	skyffla norpa knäa cykla skyffla	hon säger skyffla två gånger	3	2020/Dec/11/1332	24	4
12_sp13_replication_swe_2020_Nov_13_1530_block_3_word_presentation_25.wav	skrubbla fläta		3	2020/Nov/13/1530	12	25
54_sp13_replication_swe_2021_May_12_1033_block_2_word_presentation_2.wav	rota ösa		2	2021/May/12/1033	54	2
5_sp13_replication_swe_2020_Nov_06_0835_block_3_word_presentation_0.wav	pilla bulta plocka klappa		3	2020/Nov/06/0835	5	0
51_sp13_replication_swe_2021_Apr_09_0829_block_3_word_presentation_13.wav	torka klättra		3	2021/Apr/09/0829	51	13
27_sp13_replication_swe_2021_Feb_03_1312_block_2_word_presentation_3.wav	halka fly skejta snava		2	2021/Feb/03/1312	27	3
12_sp13_replication_swe_2020_Nov_13_1530_block_3_word_presentation_24.wav	vingla flänga slänga		3	2020/Nov/13/1530	12	24
8_sp13_replication_swe_2020_Nov_11_1630_block_1_word_presentation_8.wav	banka piska		1	2020/Nov/11/1630	8	8
28_sp13_replication_swe_2021_Feb_03_1459_block_1_word_presentation_16.wav	strutta flyga		1	2021/Feb/03/1459	28	16
39_sp13_replication_swe_2021_Feb_24_1456_block_2_word_presentation_24.wav	fläta		2	2021/Feb/24/1456	39	24
24_sp13_replication_swe_2020_Dec_11_1332_block_3_word_presentation_21.wav	rista klappa klicka kila		3	2020/Dec/11/1332	24	21
12_sp13_replication_swe_2020_Nov_13_1530_block_1_word_presentation_11.wav	trampa lysna gå		1	2020/Nov/13/1530	12	11
34_sp13_replication_swe_2021_Feb_12_1023_block_1_word_presentation_19.wav	jogga marschera springa skynda		1	2021/Feb/12/1023	34	19
56_sp13_replication_swe_2021_Apr_21_1031_block_3_word_presentation_16.wav	skala		3	2021/Apr/21/1031	56	16
33_sp13_replication_swe_2021_Feb_12_0822_block_2_word_presentation_22.wav	nypa borsta		2	2021/Feb/12/0822	33	22
18_sp13_replication_swe_2020_Nov_27_1535_block_1_word_presentation_24.wav	tåga snubbla		1	2020/Nov/27/1535	18	24
30_sp13_replication_swe_2021_Feb_05_1508_block_1_word_presentation_12.wav	norpa tvätta		1	2021/Feb/05/1508	30	12
32_sp13_replication_swe_2021_May_05_1032_block_2_word_presentation_12.wav	vandra flanera stappla		2	2021/May/05/1032	32	12
9_sp13_replication_swe_2020_Nov_20_1107_block_3_word_presentation_9.wav	trampa springa lunka löpa		3	2020/Nov/20/1107	9	9
41_sp13_replication_swe_2021_Mar_03_1035_block_1_word_presentation_25.wav	rota bulta ösa slipa		1	2021/Mar/03/1035	41	25
44_sp13_replication_swe_2021_Mar_05_0836_block_1_word_presentation_12.wav	stappla glida kila		1	2021/Mar/05/0836	44	12
6_sp13_replication_swe_2020_Nov_11_1018_block_2_word_presentation_3.wav	springa svassa kila		2	2020/Nov/11/1018	6	3
30_sp13_replication_swe_2021_Feb_05_1508_block_3_word_presentation_24.wav	ila snubbla ströva		3	2021/Feb/05/1508	30	24
34_sp13_replication_swe_2021_Feb_12_1023_block_1_word_presentation_24.wav	trampa skrida traska lunka		1	2021/Feb/12/1023	34	24
24_sp13_replication_swe_2020_Dec_11_1332_block_3_word_presentation_2.wav	svaja ila stå svida		3	2020/Dec/11/1332	24	2
41_sp13_replication_swe_2021_Mar_03_1035_block_2_word_presentation_9.wav	slå sno repa		2	2021/Mar/03/1035	41	9
47_sp13_replication_swe_2021_Mar_17_1501_block_2_word_presentation_13.wav	svabba nypa borsta ila		2	2021/Mar/17/1501	47	13
6_sp13_replication_swe_2020_Nov_11_1018_block_2_word_presentation_7.wav	putta ösa		2	2020/Nov/11/1018	6	7
45_sp13_replication_swe_2021_Mar_05_1501_block_3_word_presentation_11.wav		inget ord	3	2021/Mar/05/1501	45	11
