infinitive,category,imperative,imperative_differs
banka,arm,,0
borsta,arm,,0
bulta,arm,,0
daska,arm,,0
dunka,arm,,0
fånga,arm,,0
fila,arm,,0
fläta,arm,,0
gnugga,arm,,0
grabba,arm,,0
greppa,arm,,0
gripa,arm,grip,1
hacka,arm,,0
hissa,arm,,0
hiva,arm,,0
karva,arm,,0
kasta,arm,,0
klappa,arm,,0
klicka,arm,,0
klippa,arm,klipp,1
klösa,arm,klös,1
knacka,arm,,0
knycka,arm,knyck,1
linda,arm,,0
norpa,arm,,0
nypa,arm,nyp,1
ösa,arm,ös,1
peta,arm,,0
pilla,arm,,0
piska,arm,,0
plocka,arm,,0
polera,arm,,0
putta,arm,,0
repa,arm,,0
rista,arm,,0
rota,arm,,0
rycka,arm,ryck,1
signera,arm,,0
skala,arm,,0
skrubba,arm,,0
skura,arm,,0
skyffla,arm,,0
slå,arm,,0
slipa,arm,,0
slunga,arm,,0
snärta,arm,,0
sno,arm,,0
svabba,arm,,0
torka,arm,,0
tvätta,arm,,0
vika,arm,vik,1
vira,arm,,0
cykla,leg,,0
flanera,leg,,0
fly,leg,,0
gå,leg,,0
glida,leg,glid,1
halka,leg,,0
halta,leg,,0
hoppa,leg,,0
ila,leg,,0
jogga,leg,,0
kila,leg,,0
kliva,leg,kliv,1
knäa,leg,,0
knalla,leg,,0
linka,leg,,0
löpa,leg,löp,1
lunka,leg,,0
marschera,leg,,0
pinna,leg,,0
promenera,leg,,0
ragla,leg,,0
ränna,leg,ränn,1
rusa,leg,,0
skejta,leg,,0
skrida,leg,skrid,1
skutta,leg,,0
skynda,leg,,0
smyga,leg,smyg,1
snava,leg,,0
snubbla,leg,,0
sparka,leg,,0
springa,leg,spring,1
stå,leg,,0
stampa,leg,,0
stappla,leg,,0
stega,leg,,0
stiga,leg,stig,1
stövla,leg,,0
ströva,leg,,0
strutta,leg,,0
svaja,leg,,0
svassa,leg,,0
tåga,leg,,0
tassa,leg,,0
trampa,leg,,0
traska,leg,,0
trippa,leg,,0
vackla,leg,,0
vada,leg,,0
vandra,leg,,0
vanka,leg,,0
vingla,leg,,0
